flow_id,rflow_id,name,uploader,num_duplicates,ignore
7525,7525,TEST83af9daba4sklearn.model_selection._search.GridSearchCV(estimator=sklearn.ensemble.bagging.BaggingClassifier(base_estimator=sklearn.svm.classes.SVC)),865,1,1
7527,7527,TEST83af9daba4sklearn.svm.classes.SVC,865,1,1
7340,7340,TEST876f3763d9sklearn.cluster.k_means_.KMeans,865,1,1
7455,7455,TEST8a0a505dacsklearn.ensemble.voting_classifier.VotingClassifier(lr=sklearn.linear_model.logistic.LogisticRegression),865,1,1
7457,7457,TEST8a0a505dacsklearn.linear_model.logistic.LogisticRegression,865,1,1
7406,7406,TEST91754d1195sklearn.ensemble.bagging.BaggingClassifier(base_estimator=sklearn.ensemble.bagging.BaggingClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)),865,1,1
7410,7410,TEST91754d1195sklearn.ensemble.bagging.BaggingClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7412,7412,TEST91754d1195sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7483,7483,TEST91d25028dasklearn.decomposition.truncated_svd.TruncatedSVD,865,1,1
7486,7486,TEST91d25028dasklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7484,7484,TEST91d25028dasklearn.feature_selection.univariate_selection.SelectPercentile,865,1,1
7477,7477,"TEST91d25028dasklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(ohe=sklearn.preprocessing.data.OneHotEncoder,scaler=sklearn.preprocessing.data.StandardScaler,fu=sklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile),boosting=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)))",865,1,1
7482,7482,"TEST91d25028dasklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile)",865,1,1
7478,7478,"TEST91d25028dasklearn.pipeline.Pipeline(ohe=sklearn.preprocessing.data.OneHotEncoder,scaler=sklearn.preprocessing.data.StandardScaler,fu=sklearn.pipeline.FeatureUnion(pca=sklearn.decomposition.truncated_svd.TruncatedSVD,fs=sklearn.feature_selection.univariate_selection.SelectPercentile),boosting=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier))",865,1,1
7480,7480,TEST91d25028dasklearn.preprocessing.data.OneHotEncoder,865,1,1
7481,7481,TEST91d25028dasklearn.preprocessing.data.StandardScaler,865,1,1
7487,7487,TEST91d25028dasklearn.tree.tree.DecisionTreeClassifier,865,1,1
7309,7309,TEST92b790722csklearn.cluster.k_means_.KMeans,1159,1,1
7528,7528,TEST95685f5ae6sklearn.cluster.k_means_.KMeans,865,1,1
7316,7316,TEST99931b2713sklearn.cluster.k_means_.KMeans,1159,1,1
7322,7322,TEST9a3aa3e83bsklearn.cluster.k_means_.KMeans,1159,1,1
7416,7416,TEST9ad1bc6362sklearn.ensemble.voting_classifier.VotingClassifier(dt=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7421,7421,TEST9ad1bc6362sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7408,7408,TEST9ad1bc6362sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7378,7378,TEST9cb2be6705sklearn.cluster.k_means_.KMeans,865,1,1
7591,7591,TESTTEST13d4e62319sklearn.naive_bayes.GaussianNB,865,1,1
7573,7573,TESTTEST31a8e6ff93sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7570,7570,TESTTEST31afe2c905sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7590,7590,TESTTEST33a7c68130sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7594,7594,TESTTEST341ba6a949sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7593,7593,TESTTEST6d3dbb66d4sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7576,7576,TESTTEST77d9cbafcfsklearn.tree.tree.DecisionTreeClassifier,865,1,1
7574,7574,TESTTEST79b3ab0e12sklearn.tree.tree.DecisionTreeClassifier,865,1,1
